,0
UBE2J1,2.786877786877788e-05
MT-ND1,1.3463877100240717e-05
MDK,0.0001330711283590128
CDA,0.0
ARL4C,0.0
MT-ND4,0.0
SLC16A3,2.801568878571999e-05
IL1R1,0.0
SPNS3,0.006936033449446186
HIST1H2AC,2.7910685805422626e-05
ADAMTS1,5.461369770580296e-05
HIST1H2AH,0.0004997770677917738
SAV1,0.00025168768058838985
YBX1,0.0
MPP1,0.0004459459459459459
S100P,0.00012962962962962963
RAB13,0.00010294117647058827
SLC16A1-AS1,0.0
TUBA1A,0.0
CRELD2,0.00047217806041335446
XBP1,0.0
ARID5B,0.0009724709666241924
FOXJ1,1.433251433251433e-05
NEXN,0.0
SNCA,0.002414051866014121
MANF,0.0
CXCL1,0.00010823362061752156
PLK1,0.0
PSME2,0.0
SIRPB1,8.261586084166724e-05
UNG,2.8225806451612875e-05
OAS3,0.0
LAT2,0.0009715447154471545
HMGCS1,0.0
CNN2,0.0
SERINC2,0.0012657983060459842
IRS2,0.0004443133104066765
ATAD2,0.00010416666666666667
PADI2,0.0
CTSC,0.0
AHNAK,5.4012345679012355e-05
CLSPN,0.0005038225059964189
BRI3,0.0
PPT1,2.873563218390802e-05
TYMP,8.18759936406995e-05
CNTNAP2,2.906976744186046e-05
CKB,0.0020781488474986925
IL6R,0.0023931070520426772
HELLS,0.0015487012775503629
TGFBR3L,0.0
ZNF503,0.00018265928237233824
TNF,0.0
ODC1,0.0
PRSS23,8.298543010125267e-05
RSAD2,5.417956656346752e-05
P3H2,0.0
MAP3K8,0.0017086504038506976
ENAH,0.0005767090620031797
QPRT,0.00012962962962962963
RGS10,0.0
HNRNPAB,0.0004998327791155448
LGALS3,0.0
THBD,0.0
HNMT,0.0014780431630526507
STOM,0.0010875407030834664
SYNGR1,2.7910685805422626e-05
GADD45A,2.845528455284551e-05
IGFBP4,5.5866811381517275e-05
IFI30,0.0
LTBP1,2.777777777777778e-05
VEGFA,0.0022833639793134117
SEC61A1,0.0
GATA3,0.003360895114048425
CENPA,0.0
CITED2,5.6003584229390654e-05
CD70,5.5866811381517275e-05
STAT1,0.0
LIMS2,0.00010347376201034736
SAMHD1,5.6513409961685814e-05
SNRNP25,7.734567901234568e-05
BACE2,0.001690084892097276
NRIP3,0.0
PARVB,0.0
SDF2L1,5.468749999999999e-05
NMT2,0.00015754031543505228
MSLN,0.00013288288288288287
HIST1H2BD,0.0008965819213293228
HS3ST1,0.00017961369770580298
NT5DC2,5.468749999999999e-05
SMOX,0.00045080663501198515
APLP2,8.198560457237083e-05
DAAM1,0.00010294117647058823
IRF1,8.333333333333334e-05
EFEMP2,0.0
MCM4,0.002314987242227257
SIRPA,0.0
MX2,0.0004459459459459459
TPM2,0.0
LMCD1,0.0
AEBP1,0.0
NRIP1,0.0
FGD4,2.7821939586645457e-05
LCP1,8.299046914607557e-05
PAPSS2,2.946127946127946e-05
TARS,0.0
OPTN,0.0
CARD19,0.00011150568181818183
PSAT1,5.439005439005437e-05
PMEPA1,0.0
PARP14,0.0
EFNB1,3.0434782608695646e-05
TSPAN18,0.00015873097490744554
RAMP1,0.0
CTSS,0.00021706820339431282
CARD16,0.00019532037082069622
ZNF618,0.0
SH3TC2,0.0
ZYX,0.0
CHST2,0.0
SERPINE1,0.0
TRIM16L,2.78219395866455e-05
HES4,0.0
SPOCK2,0.0
NBEA,0.0
PPIF,0.0
BCL2A1,0.0016632469380058988
CDK1,0.0
GFOD1,0.0
DENND6B,0.005906325510227659
P2RX5,0.0067006742676091365
SLC26A2,0.0
CRIP2,0.00016019061583577717
CDC42EP2,5.4012345679012355e-05
BCAR3,0.0004715447154471545
LTBR,0.0
MTPN,0.0
MYOF,0.0013160847104075556
WLS,0.0
APOC1,7.882882882882882e-05
LINC00467,0.0012235609823795714
CEP78,0.0
TMEM158,2.8437499999999973e-05
MCTP1,0.0
CTSA,0.0
MSR1,0.0
RELL1,2.7910685805422633e-05
SLC7A5,0.0
IL4I1,2.78219395866455e-05
OAS2,0.0010788117171785785
LINC01220,0.0010296815462014766
ZNF205,0.0
LACTB,2.8044871794871778e-05
DMKN,0.0004991404101025256
LIMA1,0.0004717741935483871
FAM3C,8.48630536130536e-05
FBN2,7.894736842105265e-05
MARCKS,0.0
EPHA2,0.0013392176108558873
MAPKAPK2,0.0
MYBL1,0.0
CAMK1,0.0009721780604133545
PRELID1,0.0
AK5,0.0023075188978923305
TACC3,5.4012345679012355e-05
GPR155,0.003613251237320716
MYO1E,0.00011297856280193232
SPINT1,0.0
PAWR,0.0023180445584738917
CHEK2,2.7910685805422626e-05
DCLRE1A,2.777777777777778e-05
ASRGL1,0.0
KIFC1,0.0007964087569350727
TUBA4A,0.0
RHOBTB3,7.894736842105265e-05
UBE2H,0.0
MSH2,0.0013407585890375033
MRPL17,7.882882882882884e-05
NREP,0.0
CCNA2,0.00020580808080808077
HSPB1,0.0
PTP4A3,8.139534883720928e-05
SKAP2,0.0
MYADM,0.00016817024719255363
ASPHD2,0.0025465165317139
MXD4,2.7890298160568455e-05
BHLHE41,0.0
TTYH2,0.0023145833111700887
ZC3H12A,0.0
GPAT3,0.0
ASAP1,0.0
BEX2,0.0
SYP,0.0
PCSK1N,5.4390054390054376e-05
NCOA4,0.0
RPL22L1,0.0
TCOF1,0.0
FLNB,0.0008385741633579127
AMIGO2,5.439005439005437e-05
RGS9,5.4390054390054376e-05
OAS1,0.008082679437426275
POLR3K,7.882882882882884e-05
ETV6,0.0
GARS,0.0018086336434988395
KRT18,0.0
MYO10,0.0
PASK,0.0032291194890819285
CPVL,0.0005583196833196833
RELT,0.0
LRRCC1,2.7777777777777786e-05
TCN2,0.0
DNAJB11,0.0
CXXC5,2.804487179487179e-05
MCM5,0.0
SLFN11,0.0
IKZF3,0.002338818581603586
SVIL,0.0
MTHFD2,0.0005536987553037419
PTX3,0.0
TMEM231,0.0
LPIN2,2.8225806451612888e-05
CCL20,0.0
REEP4,0.0
DPYD,0.0
FUOM,0.0
LINC01215,0.001867635964410158
NT5E,5.4054054054054026e-05
ADAM19,0.002829133281268095
ERLEC1,0.0
NSUN6,0.00044492525570416996
MARVELD2,0.0
TSPAN2,8.395666292265185e-05
CDC42EP1,0.0
CSPP1,0.0
PRC1,0.0
CCDC112,0.00012829912023460408
SEC14L1,0.0
JSRP1,0.0
NCALD,0.0012631233145939027
AUTS2,0.0
CENPU,0.0
SNAPC1,0.0
AHR,0.0
MNS1,8.228840125391854e-05
PSTPIP2,0.0008923591950851635
PICALM,5.5074744295830035e-05
SULF2,2.7910685805422633e-05
SOX4,5.6496315593938125e-05
SYCE1,0.0
DBT,0.0018095076056805837
TET3,0.0001528696810954875
NXPH4,0.0
AKIRIN2,0.0007377451988412845
CANX,7.918552036199097e-05
CDC25B,0.0
SPON1,0.0
NEU1,7.918552036199097e-05
HIST1H3G,0.00011083052749719418
CADM1,5.4054054054054026e-05
ZFP36L1,0.0
CCDC34,0.001420330453442284
ABLIM1,0.0
CHRNB1,0.0
EPHB1,0.0
GPX3,0.0
SCLT1,2.779639143275505e-05
NOG,0.00013034188034188036
HACD1,5.507474429583003e-05
KIFC3,5.417956656346752e-05
DPP4,0.0
FOSB,0.0
ADGRG1,0.0
NEK11,2.777777777777778e-05
PHLDA1,0.0006220570305936159
NASP,5.6324062421623424e-05
UCHL1,0.0
ATF4,0.0
HEXIM2,0.0
DHRS3,0.0
NAGA,2.7821939586645457e-05
CITED4,0.0
SLC20A2,2.8044871794871778e-05
NAAA,0.0004955143203408551
FKBP11,0.0022512330924205452
RAD51AP1,0.0004318885448916409
XAF1,0.00241622250281306
SESN2,0.0
SYTL4,7.920033977691143e-05
PFN1,0.0
NOP16,5.681818181818184e-05
C2orf88,5.555555555555557e-05
RIN2,0.0
VNN1,2.7821939586645457e-05
FKBP1B,5.507474429583003e-05
RECQL,0.0
ZNF710,0.009166735479573907
SCRN1,0.00010347376201034736
DNAJC10,0.0
RAB34,0.0
CLDN16,0.0
ADGRE5,0.0010099297442056588
DEK,0.0
ELFN1-AS1,0.0
HMGXB3,0.0001070962061674136
LAMB3,0.0
MAP7D3,2.7910685805422626e-05
BIRC5,5.395770101652455e-05
ARF4,7.918552036199097e-05
PTPRE,5.409821586292174e-05
MARCKSL1,0.0008721462876311574
VSTM1,2.789029816056846e-05
KCNQ1,0.009947168259369926
BIK,0.009459141318955965
SAA1,0.0
TET2,0.0
KIF13A,0.0
CDCA7,0.0005
SOCS3,0.0010360123731484863
IFNGR2,0.0
WDR44,0.0
STAMBPL1,0.003228680853186078
LTV1,0.0
AKAP12,0.00010584994120472848
OPN3,0.0
DDIT4L,0.0
PLAU,2.804487179487179e-05
C12orf45,0.0
PLK4,0.00017885662622504724
POFUT1,0.0005253429878048781
TTC26,5.4012345679012355e-05
H2AFJ,0.0
IL18,8.221199397669987e-05
APOLD1,0.0
TRMT5,2.8455284552845545e-05
FAM114A1,0.00044740780651341
TAP2,0.0
HIP1,0.0
TRIP13,0.0010153492426960226
MRPL1,0.0
DPYSL2,5.405405405405405e-05
TRIM16,2.78219395866455e-05
RAB42,0.0
LEPROT,0.0
GRINA,2.8225806451612888e-05
HM13,5.5074744295830035e-05
RAB3B,0.00011239386996307412
IL6ST,0.00039766081871345026
COCH,0.0
SEC11C,2.804487179487177e-05
SND1,0.0
FAM117B,0.0
CDV3,0.0
H1FX,0.0001257342431296397
SLC12A2,0.00021012453042582168
HEXA,2.78219395866455e-05
MMP1,0.0004186046511627907
AP1S2,5.589928605633186e-05
SCOC-AS1,0.0
PPP1R1B,0.00015947399011915142
HIST1H1A,0.0008906489196382813
ICAM1,2.8225806451612888e-05
DAPK1,5.743589743589742e-05
HAGHL,0.0
MSRB3,0.00013496355216483525
LGALS3BP,0.00016392601147592067
PIF1,0.0
SFTA2,7.918552036199092e-05
MSRB1,0.002392903793832587
SWI5,0.0009737654320987655
FOSL2,2.7890298160568455e-05
RGS19,0.0
DNAJC9,0.0
HADH,0.0
TNNC1,0.0
COL4A1,0.0
JUP,5.6134723336006396e-05
PPIB,0.0
SLC16A6,0.0
ATP2A2,0.0
CDKN3,0.0
LXN,0.0016730685630767868
THSD7A,0.0
BSPRY,0.0
PLEKHF1,1.9047619047619046e-05
MAK16,2.777777777777778e-05
SUSD5,0.0
LAMA3,0.00010971492873218309
FGFBP1,0.002680817805293747
TSPAN33,0.0
PLXND1,0.0
AXL,0.0006023391812865497
CUX1,0.0
ADI1,7.954545454545458e-05
MATN2,0.0
RRM2,0.0
ACER3,0.0
KIF14,5.5622411627313585e-05
MSRB2,0.0
METTL8,5.681818181818184e-05
MYO1C,2.7777777777777786e-05
NGFR,0.0
MREG,2.7868777868777876e-05
OSCAR,0.0
CBX2,0.0
SLC1A4,0.0
SV2A,0.0
HEY1,0.0
TCF7,0.0002130395533299344
IER5,0.0010666075480443569
TRIM58,0.0004717741935483871
PHACTR3,0.0
