col_name,feature_importance_vals
XBP1,2.9155516568297084e-05
ARID5B,0.0
FOXJ1,0.0
NEXN,0.0
SNCA,0.0
MANF,4.935489848823979e-05
CXCL1,7.621189602562534e-05
PLK1,0.0023187608915241796
PSME2,0.0
SIRPB1,0.0
UNG,0.0033771655001919843
OAS3,2.2512120078719216e-05
LAT2,0.0
HMGCS1,0.0
CNN2,0.0
SERINC2,0.004074307687891723
IRS2,0.0
ATAD2,0.00038113292387882485
PADI2,2.9155516568297084e-05
CTSC,0.0
AHNAK,0.0
CLSPN,0.001232523141806735
BRI3,2.4719156803389214e-05
PPT1,0.0
TYMP,0.0
CNTNAP2,0.0
CKB,0.004651063378516534
IL6R,0.0
HELLS,0.009111931181077797
TGFBR3L,0.0
ZNF503,0.0006361155040499597
TNF,0.0
ODC1,0.0
PRSS23,0.00011720109712760559
RSAD2,0.0
P3H2,5.682163123220057e-05
MAP3K8,0.0
ENAH,0.004703601986640336
QPRT,0.00013524445625304966
RGS10,0.0
HNRNPAB,0.00016407501826368773
LGALS3,0.0
THBD,0.0
HNMT,0.0
STOM,0.0
SYNGR1,0.0
GADD45A,0.0
IGFBP4,0.00017378146087507237
IFI30,0.0
LTBP1,0.0
VEGFA,0.007676813506137532
SEC61A1,0.0
GATA3,0.0
CENPA,0.0003587973878781767
CITED2,0.0
CD70,0.00014968725005494538
STAT1,0.0
LIMS2,2.8293594019135037e-05
SAMHD1,0.0
SNRNP25,0.00011272833226171292
BACE2,0.0019393529564373834
NRIP3,5.248976550870335e-05
PARVB,7.79354796074344e-05
SDF2L1,0.0
NMT2,0.0
MSLN,0.0006344780808205706
HIST1H2BD,0.0
HS3ST1,0.000269426880754429
NT5DC2,0.0
SMOX,0.002682371508538403
APLP2,6.866004946908377e-05
DAAM1,0.00018565682565586177
IRF1,0.0
EFEMP2,0.0
MCM4,0.006319035916681821
SIRPA,0.0
MX2,0.0
TPM2,0.0
LMCD1,0.0
AEBP1,0.0
NRIP1,0.0007065672812281744
FGD4,4.156468353659681e-05
LCP1,0.0
PAPSS2,6.35549871693575e-05
TARS,0.000166415163483353
OPTN,0.0
CARD19,0.0
PSAT1,0.0004503581144117006
PMEPA1,0.0
PARP14,0.0
EFNB1,0.0
TSPAN18,0.0001980774031653799
RAMP1,0.0
CTSS,0.0
CARD16,0.0
ZNF618,0.0007784105330218064
SH3TC2,0.0
ZYX,0.0
CHST2,0.0
SERPINE1,0.00011865551234361996
TRIM16L,0.0
HES4,0.00024221958035088484
SPOCK2,0.0
NBEA,0.0
PPIF,4.5640143009508326e-05
BCL2A1,0.0
CDK1,0.001059279030454493
GFOD1,0.0
DENND6B,0.0
P2RX5,0.0
SLC26A2,0.0001321822803391509
CRIP2,0.0006004669880418553
CDC42EP2,0.0
BCAR3,0.003337897729520778
LTBR,0.0
MTPN,2.535071486151353e-05
MYOF,0.006434888091733537
WLS,5.931197021174296e-05
APOC1,0.0012983805947505958
LINC00467,0.0054114689302008955
CEP78,7.975037564374597e-05
TMEM158,0.0
MCTP1,0.0
CTSA,2.3021094853537163e-05
MSR1,0.0
RELL1,0.0
SLC7A5,0.0001400623371433484
IL4I1,0.0
OAS2,0.0
LINC01220,0.0
ZNF205,0.0
LACTB,4.2504545078181266e-05
DMKN,0.0008339377718961735
LIMA1,5.736957859551313e-05
FAM3C,0.0005293348609906007
FBN2,0.0
MARCKS,7.242244240027995e-05
EPHA2,0.004921949774989765
MAPKAPK2,9.305912979993917e-05
MYBL1,7.413918358836072e-05
CAMK1,0.0
PRELID1,2.673086284357635e-05
AK5,0.0
TACC3,0.0
GPR155,0.0
MYO1E,0.00038400450306109784
SPINT1,9.128028601901665e-05
PAWR,0.0031096107689717466
CHEK2,0.0
DCLRE1A,0.0
ASRGL1,0.0004295705566273848
KIFC1,0.0008864769957921645
TUBA4A,0.0
RHOBTB3,0.0006379855883645569
UBE2H,0.0
MSH2,0.0016154089275328396
MRPL17,0.00018898790648226113
NREP,5.553750080269239e-05
CCNA2,0.0006087172045138134
HSPB1,0.00013513518306374077
PTP4A3,0.0
SKAP2,3.007902809914159e-05
MYADM,0.0
ASPHD2,0.0
MXD4,0.0
BHLHE41,0.0
TTYH2,0.0
ZC3H12A,0.0
GPAT3,0.0001983680935186533
ASAP1,0.0
BEX2,0.0
SYP,0.0
PCSK1N,0.00041828821661792347
NCOA4,3.007902809914159e-05
RPL22L1,0.0
TCOF1,7.301175017661012e-05
FLNB,0.0037714738870231234
AMIGO2,0.00021647875102956155
RGS9,0.0002291457376898512
OAS1,0.0
POLR3K,0.0
ETV6,0.0
GARS,0.004203402552193412
KRT18,1.792824738884468e-05
MYO10,0.001634435785726929
PASK,0.0
CPVL,0.0
RELT,0.0
LRRCC1,8.506781767710324e-05
TCN2,7.457272432894816e-05
DNAJB11,0.0
CXXC5,0.0
MCM5,0.00030493809436337523
SLFN11,3.610568524607469e-05
IKZF3,0.0
SVIL,0.0
MTHFD2,0.002297168215512171
PTX3,7.677151296515455e-05
TMEM231,0.0
