col_name,feature_importance_vals
CXCL8,0.0003019381519965882
LCN2,0.0006573786256771415
S100A4,0.00015588355653062312
SERPINA1,0.0007538292393209384
LTB,0.00016129375031136853
HIST1H4C,0.0010309285794299346
MT2A,0.0017917739463243275
TOP2A,0.001368652493031811
ATP1B1,0.00022598953152569708
ID2,0.0001139696902569068
GAPDH,0.0002082741138931782
IL32,0.0003360936294183431
FTL,0.00037867984624892904
CD24,0.00013606952972769959
CENPF,0.0013945388592752656
IGFBP7,0.00014397172880648094
EGR1,0.00040181430975692585
ID1,0.00015016302820297666
UGCG,0.0011365468342474214
SRGN,0.0005073070211874204
MKI67,0.0020808262394458234
NPC2,0.00047481177889457715
C12orf75,0.0007852351824173458
IFI27,0.00024294891594984794
TGFBI,0.0009426327780553124
AREG,0.0002818879782238584
HMGA1,0.0001558227029008669
TNFSF10,0.00012144773973100039
CTSB,0.00011585510011780038
MT1E,0.0009471429247318514
CYP1B1,0.00015283628213873672
CD74,0.0001105384283010622
YBX3,0.00011563473508007028
UBE2C,0.0012174848997301548
CDCP1,0.00046121016624595096
C15orf48,0.0015360106729511947
MAL,0.0004528145925729146
CDKN1C,0.0005602958925201613
THBS1,0.00048282860100729957
ITGB1,0.0003407056258504487
NME4,0.00039260819418453853
NFKBIA,0.00012804642597879807
NAMPT,0.00019122657524476067
CDC20,0.00046273676477498536
MGST1,0.0003192046036915089
PHGDH,0.0002690179018969166
LIMS1,0.0010378213184743974
TPX2,0.0007457174837597291
RNASET2,0.00012863980302239993
IL6,0.00010174247269805575
TPM4,0.00014567465744484676
DDIT4,0.0004632581800100368
CKS2,0.0003819164121069487
UCP2,0.0003119956708719729
CD82,9.757816166898974e-05
SAT1,0.0004891577694012201
NUF2,0.0002743614596686691
SSR3,0.0006306730671927063
HSPA5,0.0004454961441826475
PTTG1,0.00014925481608829235
MGLL,0.00017644328555048102
PDIA6,0.0004178179489659266
KPNA2,0.00024206495601176924
IER3,0.0005091257923767606
PCNA,0.0009507103183218035
RGCC,0.00024389851253772907
MT-ATP6,0.00018340021320909403
COL6A2,0.00030285157009239775
RPLP1,0.0004066439113782841
RNF144B,0.00015686430519344793
HIST1H1D,0.00012489185603943893
CTSV,0.00014582364461384364
ZG16B,0.00011799820811112934
TFRC,0.0004518816918402303
HIST1H1C,0.0012981503120513451
H1F0,0.00020065480229060394
FOLR3,0.000161023188233465
HMGN2,0.0009190216812749039
KCNQ1OT1,0.0001944561978823228
CCDC28B,0.00015976173852642325
HIST1H2BG,0.00015127137005165335
RPS24,0.00012332603111591433
ST14,0.0002896003671146863
HMMR,0.00027701716793407827
LYAR,0.0004133707274319425
RAB11FIP1,0.00023616656525092493
LAD1,0.0002653956490456818
BASP1,0.0005817198532613496
KYNU,0.00026103998649441173
CENPE,0.00030575141903492275
IL4R,0.00010494264659696264
CALU,0.0006286598932776728
SPDL1,0.0008690472539228322
MT-ND1,0.0004111781442736857
ARL4C,0.00032115360226740014
MT-ND4,0.00012998773495888225
YBX1,0.0001292515869721985
TUBA1A,0.0003679135740985014
MANF,0.00012695073127284468
CXCL1,0.0007750283466264426
OAS3,0.00012418324396685053
CTSC,0.00014650952689686475
AHNAK,0.0005097340822043474
CLSPN,0.00010609726680787767
BRI3,0.00014069939411000365
CKB,0.00020668444449675378
ODC1,0.00016332607232512981
QPRT,0.00021344255595859277
RGS10,0.0005023100838204421
HNRNPAB,0.0014787838650737978
SYNGR1,0.0001307439028150717
DAAM1,0.0006051426018244835
IRF1,0.00011789969540317923
TPM2,0.00039940458337844507
NRIP1,0.0003504371137910353
TARS,0.0007601002650614961
CARD19,9.822388404981599e-05
PSAT1,0.00024026437735218573
PMEPA1,0.0001466319137501909
CHST2,0.00013156128847128504
SLC26A2,0.0001769083243798873
CRIP2,0.0005307253794182882
LTBR,0.00014435417606077205
MTPN,0.00020895959307246366
MYOF,0.0015381796572854949
SLC7A5,0.000580244151200215
LACTB,0.0001541326025705691
MARCKS,0.000914639824448949
PRELID1,0.00019707906425611268
PAWR,0.0005189445960343503
ASRGL1,0.0002596143556126821
TUBA4A,0.0006501680586997521
UBE2H,0.0002637608348726145
SKAP2,0.00026049492229601685
MXD4,0.00011530011146844782
FLNB,0.00017937540525464138
POLR3K,0.0002695444557304196
GARS,9.748111228800668e-05
KRT18,0.0011590866314365568
CPVL,0.00040361653396856845
DNAJB11,0.00023158892169626263
MCM5,0.00045386343418497876
MTHFD2,0.000357787668517832
CCL20,0.00012097919437279628
DPYD,0.0004942125741511031
CCDC112,0.0002044870993146753
SEC14L1,0.0002742228328018288
JSRP1,0.00020992575929893695
CENPU,0.0002218277616255955
SYCE1,0.00014923559649566038
CANX,0.00022476433797857887
CDC25B,9.759195011966705e-05
KIFC3,0.00012312356326701354
ADGRG1,0.00023784132168413975
PHLDA1,0.00012367514721963558
NASP,0.0003309806241028194
UCHL1,0.0006967338242206551
ATF4,0.00039885306695717316
SLC20A2,0.000286768190239044
PFN1,0.00015206567827078912
NOP16,0.00035614078086172957
FKBP1B,0.00020605643247745685
SCRN1,0.00014828779222628236
ADGRE5,0.00022643595845581882
DEK,0.00030942243916367765
MAP7D3,0.0004353284536681571
BIRC5,0.000632776574633419
PTPRE,0.00013211087086991826
BIK,0.0001992993717317017
SAA1,0.0007005298718715911
LTV1,0.0006030613517475571
AKAP12,0.0009733493323679888
POFUT1,0.00014756036374678164
H2AFJ,0.0004081168266667725
MRPL1,0.00024059091788958964
DPYSL2,0.0004726543305436583
TRIM16,0.00010919244205565106
GRINA,0.0001484197257580557
IL6ST,0.0006026484396521317
SEC11C,0.00012487097080485379
CDV3,0.00014152737327359299
H1FX,0.00044949641898447534
SCOC-AS1,0.00013955238822067718
LGALS3BP,0.00010356785550605526
PIF1,0.00018050340526483682
COL4A1,0.0006844730595723526
CDKN3,0.00012099358416776823
THSD7A,0.0001474336012771341
MAK16,0.00013291428594634517
FGFBP1,0.0002773569439729711
AXL,0.00017386150413894276
ADI1,0.0010071657987654622
RRM2,0.0003229781106072901
MYO1C,0.00042710810645245307
CBX2,0.00010111284798732179
TCF7,9.792628925250198e-05
CDC6,0.00018879742556339435
EIF2S2,0.00036766459121152247
CD99,0.00039050914301293584
ALDH7A1,0.00022177983367301083
KIF23,0.0001916567111330273
MCM3,0.0009305077859282551
YWHAH,0.0001897087606141139
GOLGA2,0.0001337283846356329
CMIP,0.00031380748945934647
IFI16,0.00021719450175188536
CEP290,0.00013079834646748497
FAM162A,0.00018886350296617107
ANXA4,0.0011765406314182731
ZFHX3,0.00045615022454280845
YWHAE,0.0015520817617965528
RARS,0.00021615491696673164
LMO4,0.0008233936324745653
KDELR2,0.0003779566201064238
NNT-AS1,0.00032766851591776595
TSC22D1,0.0002080404113536403
STX7,0.0006053483951241828
PON2,0.00032056587109494057
REEP3,0.00045784072815652276
BCAT1,0.000657480879367018
AURKB,0.00013123412653864535
DTL,0.000160083486184605
RPS23,0.0011257773968587107
RNF168,0.00020350377444541704
CDT1,0.00018746390560269157
NCEH1,0.00010359679320674821
H2AFY2,0.00022831963272188614
ZNF185,0.000479910997236777
TXNDC11,0.0004182354380091493
DST,0.0002764800763413456
GALNT10,0.00010304674411180608
UBR4,0.00013271966162216382
RNF157,0.00024770583990744695
FNDC3B,0.000746853703120181
NDUFS4,0.0001072761507778268
PYCR1,0.00023307824849058166
MIR100HG,9.960623082549073e-05
MRPS28,0.00025883066683578563
FAM217B,0.0002676355216379922
PABPC4,0.00016117289203544007
ANTXR2,0.00017976364392035526
NPDC1,0.0004304331443711559
OSTC,0.0009426354884746961
TMA16,0.00035301472115021666
IFI27L2,0.0002980400130402295
PDGFB,0.0002369956403347225
TLN1,0.0010171410820411322
BCL9L,0.00011708488543446397
TACC1,0.0002982628120156815
ESCO2,0.0006932024441331304
PALLD,9.992407513786644e-05
LIG1,0.0001173664839029246
OXNAD1,0.0001969385670371939
ALCAM,0.00013782883410950615
VMA21,0.0007896308187088102
WDR1,0.0001675926066641224
CETN3,0.0007093072075363178
IER2,0.0003715655057308306
LARP1B,0.0001105000084254985
PAICS,0.00012693367622448152
MSH6,0.0002214132994578485
GCLC,0.00011043043332879429
HIST1H2AG,0.0003909357121514663
PGAP2,0.0005086886331946736
SDCCAG8,0.0002765492490605252
ETS1,0.0002205301975322503
SNHG12,0.0001437275069538962
TRIM14,0.00012883536145325602
PAK1IP1,0.00016473898220304873
FMNL2,0.000249640610093072
HIGD1A,0.0002694532525544612
RPL26L1,0.00041080227553532236
ATP13A1,0.00016332608804039755
SOCS4,0.00021404221357763294
MTFMT,0.0001758376114781223
RCN1,0.00023265805983619718
CSRP1,0.00014464013159083534
PSMA3,0.00010885747204038285
PLIN3,0.0007590860730818629
NUFIP2,0.00015756082212894934
CCDC86,0.00010426156136286176
EDEM1,0.00018009249415694754
KIF1C,0.000788344095832212
ALDH18A1,0.00016115864773749402
PPAT,0.00029280241832994354
DHX33,0.00041227958294917893
PDK1,0.00041378320150669797
BCL2L11,0.0001178092078789427
GULP1,0.00023206912681337429
TIGAR,0.00043059651528578984
EBNA1BP2,0.00031141074635888765
CDC73,0.00028090853523315116
GNAI2,0.0009877863338864886
S1PR5,9.983808033434144e-05
ITGAV,0.0001553842154479435
POLD3,0.0001097566555652102
FERMT2,0.00016962125111306308
CEBPZ,0.0005044537405685441
CASC19,0.0005535564053378498
RANBP2,0.0004074932603969984
UBE2E2,0.00020944613432910178
CHAF1A,0.00013864836982800183
NFIX,0.00017693075613896974
BST2,0.00011290289160653476
AKR1A1,0.0003301898988212172
EPRS,0.0001952022565810341
KDELR3,0.0005022594889345932
LPCAT1,0.00018408645305667125
UCHL3,0.00035669171075505254
PM20D2,0.0002528710410211439
F3,0.00039524545189237195
ESF1,0.0001673778359096251
ARHGEF28,0.000159688457363215
ADAM17,0.0002854585140842339
CKAP2,0.0010971136494696068
VAT1,0.00018478724698795223
TCIRG1,0.0004724077054251085
SLC43A3,0.0001603338512390904
TAF2,0.00027473963017456105
HCCS,0.00016656457783760306
DCTPP1,0.00010171666119152644
RRP15,0.0001417053045501721
FGF2,0.00032318391398109225
BCL2L1,0.00032062178120231095
EIF3A,0.00012611411746973143
NSMCE4A,0.00012364321989891
CRIM1,0.00013171215292275755
FRA10AC1,0.0001371905995757528
CHD8,0.00025163979927913496
PSEN1,0.0001183985735135641
LHX1,0.000137706361656653
MRPL30,0.00013498811100900456
STK32C,0.00014857004544933174
IVD,0.00012747655397289743
EZR,0.0005653770160547691
MAPK1,0.00018573990419020579
CS,0.0002733783630842678
IMPAD1,0.00012368303870176174
PRPF4,0.000270465286012131
NME2,0.0021855268961798752
RFC4,0.0005078283858533381
ANLN,0.0004560909628746941
NABP1,0.00010682911593064305
ARHGAP23,0.00017595080837014583
EBPL,0.0001253718100035777
FBXO5,9.980763224528979e-05
BYSL,0.00021056902760612113
